asset,Date,AdrActCnt
eth,2018-12-27,297630
eth,2018-12-28,314344
eth,2018-12-29,314501
eth,2018-12-30,247598
eth,2018-12-31,286665
eth,2019-01-01,227755
eth,2019-01-02,266633
eth,2019-01-03,298379
eth,2019-01-04,264923
eth,2019-01-05,257064
eth,2019-01-06,266956
eth,2019-01-07,288553
eth,2019-01-08,277503
eth,2019-01-09,279728
eth,2019-01-10,276872
eth,2019-01-11,309317
eth,2019-01-12,267659
eth,2019-01-13,260303
eth,2019-01-14,296695
eth,2019-01-15,277216
eth,2019-01-16,259885
eth,2019-01-17,249911
eth,2019-01-18,250566
eth,2019-01-19,235309
eth,2019-01-20,234174
eth,2019-01-21,242165
eth,2019-01-22,221052
eth,2019-01-23,241743
eth,2019-01-24,232516
eth,2019-01-25,242692
eth,2019-01-26,281294
eth,2019-01-27,253559
eth,2019-01-28,275560
eth,2019-01-29,247558
eth,2019-01-30,244601
eth,2019-01-31,226825
eth,2019-02-01,233701
eth,2019-02-02,230615
eth,2019-02-03,217389
eth,2019-02-04,208209
eth,2019-02-05,214341
eth,2019-02-06,210354
eth,2019-02-07,196941
eth,2019-02-08,210686
eth,2019-02-09,193871
eth,2019-02-10,171484
eth,2019-02-11,195256
eth,2019-02-12,207073
eth,2019-02-13,206023
eth,2019-02-14,207805
eth,2019-02-15,208673
eth,2019-02-16,215553
eth,2019-02-17,203761
eth,2019-02-18,248067
eth,2019-02-19,235079
eth,2019-02-20,218723
eth,2019-02-21,210293
eth,2019-02-22,217612
eth,2019-02-23,211612
eth,2019-02-24,217755
eth,2019-02-25,231575
eth,2019-02-26,239116
eth,2019-02-27,235484
eth,2019-02-28,233394
eth,2019-03-01,268402
eth,2019-03-02,279249
eth,2019-03-03,291044
eth,2019-03-04,272293
eth,2019-03-05,270746
eth,2019-03-06,266235
eth,2019-03-07,279134
eth,2019-03-08,272589
eth,2019-03-09,284250
eth,2019-03-10,248152
eth,2019-03-11,262743
eth,2019-03-12,298223
eth,2019-03-13,272122
eth,2019-03-14,280348
eth,2019-03-15,258613
eth,2019-03-16,268643
eth,2019-03-17,282235
eth,2019-03-18,263811
eth,2019-03-19,265142
eth,2019-03-20,261950
eth,2019-03-21,237078
eth,2019-03-22,247350
eth,2019-03-23,241066
eth,2019-03-24,260748
eth,2019-03-25,294083
eth,2019-03-26,275745
eth,2019-03-27,262880
eth,2019-03-28,277318
eth,2019-03-29,257930
eth,2019-03-30,249624
eth,2019-03-31,241677
eth,2019-04-01,296278
eth,2019-04-02,336880
eth,2019-04-03,320514
eth,2019-04-04,283098
eth,2019-04-05,290567
eth,2019-04-06,281955
eth,2019-04-07,287126
eth,2019-04-08,299606
eth,2019-04-09,296515
eth,2019-04-10,300565
eth,2019-04-11,314322
eth,2019-04-12,320739
eth,2019-04-13,290028
eth,2019-04-14,245862
eth,2019-04-15,294905
eth,2019-04-16,283757
eth,2019-04-17,308498
eth,2019-04-18,325334
eth,2019-04-19,336310
eth,2019-04-20,369030
eth,2019-04-21,307683
eth,2019-04-22,335022
eth,2019-04-23,356264
eth,2019-04-24,344470
eth,2019-04-25,299191
eth,2019-04-26,307928
eth,2019-04-27,258512
eth,2019-04-28,256712
eth,2019-04-29,274907
eth,2019-04-30,292816
eth,2019-05-01,291650
eth,2019-05-02,266188
eth,2019-05-03,275199
eth,2019-05-04,256938
eth,2019-05-05,261416
eth,2019-05-06,282859
eth,2019-05-07,277792
eth,2019-05-08,277410
eth,2019-05-09,281070
eth,2019-05-10,310015
eth,2019-05-11,320467
eth,2019-05-12,286729
eth,2019-05-13,320643
eth,2019-05-14,355627
eth,2019-05-15,369579
eth,2019-05-16,399571
eth,2019-05-17,357861
eth,2019-05-18,318252
eth,2019-05-19,330704
eth,2019-05-20,331537
eth,2019-05-21,370207
eth,2019-05-22,331007
eth,2019-05-23,339775
eth,2019-05-24,350611
eth,2019-05-25,323361
eth,2019-05-26,319134
eth,2019-05-27,361711
eth,2019-05-28,350001
eth,2019-05-29,346909
eth,2019-05-30,352640
eth,2019-05-31,399069
eth,2019-06-01,508448
eth,2019-06-02,435046
eth,2019-06-03,393251
eth,2019-06-04,361274
eth,2019-06-05,324986
eth,2019-06-06,413745
eth,2019-06-07,311139
eth,2019-06-08,276543
eth,2019-06-09,355087
eth,2019-06-10,325166
eth,2019-06-11,381772
eth,2019-06-12,480717
eth,2019-06-13,360497
eth,2019-06-14,351579
eth,2019-06-15,330124
eth,2019-06-16,443504
eth,2019-06-17,338539
eth,2019-06-18,378719
eth,2019-06-19,331466
eth,2019-06-20,313165
eth,2019-06-21,390272
eth,2019-06-22,379012
eth,2019-06-23,339193
eth,2019-06-24,363545
eth,2019-06-25,350197
eth,2019-06-26,388619
eth,2019-06-27,357014
eth,2019-06-28,325663
eth,2019-06-29,310251
eth,2019-06-30,275123
eth,2019-07-01,309889
eth,2019-07-02,382288
eth,2019-07-03,370570
eth,2019-07-04,360399
eth,2019-07-05,319406
eth,2019-07-06,318241
eth,2019-07-07,309297
eth,2019-07-08,335258
eth,2019-07-09,351558
eth,2019-07-10,347412
eth,2019-07-11,313587
eth,2019-07-12,343689
eth,2019-07-13,287614
eth,2019-07-14,297781
eth,2019-07-15,360602
eth,2019-07-16,268611
eth,2019-07-17,312639
eth,2019-07-18,308987
eth,2019-07-19,296342
eth,2019-07-20,293720
eth,2019-07-21,284257
eth,2019-07-22,332359
eth,2019-07-23,295644
eth,2019-07-24,268921
eth,2019-07-25,271079
eth,2019-07-26,314692
eth,2019-07-27,279933
eth,2019-07-28,292897
eth,2019-07-29,304681
eth,2019-07-30,331809
eth,2019-07-31,294035
eth,2019-08-01,269308
eth,2019-08-02,299037
eth,2019-08-03,259678
eth,2019-08-04,301295
eth,2019-08-05,335179
eth,2019-08-06,346542
eth,2019-08-07,310904
eth,2019-08-08,306119
eth,2019-08-09,326034
eth,2019-08-10,315155
eth,2019-08-11,293410
eth,2019-08-12,349597
eth,2019-08-13,322202
eth,2019-08-14,321012
eth,2019-08-15,304059
eth,2019-08-16,325186
eth,2019-08-17,290153
eth,2019-08-18,283406
eth,2019-08-19,295257
eth,2019-08-20,304960
eth,2019-08-21,316421
eth,2019-08-22,305383
